UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
237686,"R",708,"R",1012,"R",70,"R",526,"R",0,"R",526,"R",299,"R",57,"R",73,"R",0,"R",73,"R",29,"R",40,"R",24
237701,"R",716,"R",1053,"R",68,"R",627,"R",1,"R",626,"R",316,"R",50,"R",10,"R",0,"R",10,"R",4,"R",40,"R",26
237729,"A",,"A",,"A",,"R",28,"R",0,"R",28,"R",27,"R",96,"R",81,"R",0,"R",81,"R",57,"R",70,"R",5
237783,"R",154,"R",175,"R",88,"R",103,"R",0,"R",103,"R",44,"R",43,"R",0,"R",0,"R",0,"R",0,"A",,"R",19
237792,"R",786,"R",1404,"R",56,"R",698,"R",0,"R",698,"R",463,"R",66,"R",9,"R",0,"R",9,"R",4,"R",44,"R",19
237817,"R",435,"R",608,"R",72,"R",436,"Z",0,"R",436,"R",257,"R",59,"R",95,"Z",0,"R",95,"R",39,"R",41,"R",18
237844,"A",,"A",,"A",,"R",65,"R",0,"R",65,"R",65,"R",100,"R",5,"R",0,"R",5,"R",5,"R",100,"R",9
237899,"R",285,"R",688,"R",41,"R",335,"R",0,"R",335,"R",200,"R",60,"R",20,"R",0,"R",20,"R",10,"R",50,"R",19
237905,"A",,"A",,"A",,"R",18,"R",0,"R",18,"R",16,"R",89,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
237932,"R",573,"R",960,"R",60,"R",549,"R",1,"R",548,"R",362,"R",66,"R",3,"R",0,"R",3,"R",1,"R",33,"R",19
237950,"R",285,"R",579,"R",49,"R",229,"R",0,"R",229,"R",121,"R",53,"R",3,"R",0,"R",3,"R",1,"R",33,"R",11
237969,"R",399,"R",469,"R",85,"R",382,"R",0,"R",382,"R",284,"R",74,"R",1,"R",0,"R",1,"R",0,"R",0,"R",13
237978,"R",31,"R",31,"R",100,"R",30,"R",0,"R",30,"R",15,"R",50,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
237987,"R",55,"R",86,"R",64,"R",49,"R",0,"R",49,"R",18,"R",37,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
237996,"R",73,"R",73,"R",100,"R",68,"Z",0,"R",68,"R",46,"R",68,"R",0,"R",0,"R",0,"R",0,"A",,"R",38
238005,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",31,"R",66,"R",0,"R",0,"R",0,"R",0,"A",,"R",20
238014,"R",437,"R",932,"R",47,"R",325,"R",2,"R",323,"R",185,"R",57,"R",83,"R",0,"R",83,"R",23,"R",28,"R",18
238032,"R",4558,"R",6012,"R",76,"R",5099,"R",14,"R",5085,"R",4068,"R",80,"R",36,"R",0,"R",36,"R",13,"R",36,"R",23
238078,"R",264,"R",426,"R",62,"R",182,"R",0,"R",182,"R",140,"R",77,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
238096,"A",,"A",,"A",,"R",5,"R",0,"R",5,"R",3,"R",60,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
238166,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",31,"R",72,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",14
238175,"A",,"A",,"A",,"R",109,"R",0,"R",109,"R",99,"R",91,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",14
238193,"R",231,"R",540,"R",43,"R",252,"R",0,"R",252,"R",185,"R",73,"R",15,"R",0,"R",15,"R",8,"R",53,"R",13
238263,"R",1615,"R",5580,"R",29,"R",5334,"R",0,"R",5334,"R",2847,"R",53,"R",9463,"R",0,"R",9463,"R",4240,"R",45,"R",12
238315,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
238324,"R",41,"R",54,"R",76,"R",28,"Z",0,"R",28,"R",24,"R",86,"R",3,"Z",0,"R",3,"R",2,"R",67,"R",13
238333,"R",332,"R",422,"R",79,"R",337,"R",0,"R",337,"R",303,"R",90,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",11
238397,"R",510,"R",787,"R",65,"R",476,"R",0,"R",476,"R",310,"R",65,"R",275,"R",0,"R",275,"R",167,"R",61,"R",10
238421,"A",,"A",,"A",,"R",56,"Z",0,"R",56,"R",52,"R",93,"R",44,"Z",0,"R",44,"R",41,"R",93,"R",12
238430,"R",255,"R",622,"R",41,"R",264,"R",0,"R",264,"R",177,"R",67,"R",20,"R",0,"R",20,"R",6,"R",30,"R",17
238458,"R",730,"R",924,"R",79,"R",663,"R",0,"R",663,"R",508,"R",77,"R",10,"R",0,"R",10,"R",5,"R",50,"R",16
238476,"R",722,"R",887,"R",81,"R",754,"R",0,"R",754,"R",605,"R",80,"R",12,"R",0,"R",12,"R",5,"R",42,"R",14
238616,"R",468,"R",1052,"R",44,"R",402,"Z",0,"R",402,"R",332,"R",83,"R",3,"R",0,"R",3,"R",1,"R",33,"R",12
238661,"R",285,"R",481,"R",59,"R",298,"R",0,"R",298,"R",225,"R",76,"R",2,"R",0,"R",2,"R",0,"R",0,"R",11
238722,"R",483,"R",5545,"R",9,"R",379,"R",0,"R",379,"R",242,"R",64,"R",415,"R",0,"R",415,"R",213,"R",51,"R",6
238759,"R",568,"R",2638,"R",22,"R",445,"Z",0,"R",445,"R",285,"R",64,"R",800,"Z",0,"R",800,"R",484,"R",61,"R",16
238786,"A",,"A",,"A",,"R",38,"R",0,"R",38,"R",34,"R",89,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
238810,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",44,"R",94,"R",15,"R",0,"R",15,"R",11,"R",73,"R",14
238892,"R",188,"R",245,"R",77,"R",12,"R",1,"R",11,"R",7,"R",64,"R",1,"R",0,"R",1,"R",1,"R",100,"R",22
238935,"R",15,"R",81,"R",19,"R",9,"R",0,"R",9,"R",4,"R",44,"R",12,"R",0,"R",12,"R",3,"R",25,"R",15
238980,"R",152,"R",662,"R",23,"R",209,"R",0,"R",209,"R",144,"R",69,"R",27,"R",0,"R",27,"R",9,"R",33,"R",15
239008,"R",173,"R",683,"R",25,"R",107,"R",0,"R",107,"R",68,"R",64,"R",146,"R",0,"R",146,"R",97,"R",66,"R",14
239017,"R",348,"R",419,"R",83,"R",373,"R",0,"R",373,"R",324,"R",87,"R",9,"R",0,"R",9,"R",7,"R",78,"R",9
239071,"R",196,"R",241,"R",81,"R",196,"R",0,"R",196,"R",134,"R",68,"R",1,"R",0,"R",1,"R",0,"R",0,"R",14
239080,"R",316,"R",584,"R",54,"R",284,"R",0,"R",284,"R",215,"R",76,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
239105,"R",1947,"R",2223,"R",88,"R",1950,"R",0,"R",1950,"R",1728,"R",89,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
239132,"A",,"A",,"A",,"R",43,"Z",0,"R",43,"R",33,"R",77,"R",10,"Z",0,"R",10,"R",7,"R",70,"R",13
239187,"A",,"A",,"A",,"R",8,"Z",0,"R",8,"R",8,"R",100,"R",0,"R",0,"R",0,"Z",0,"A",,"R",7
239220,"R",292,"R",752,"R",39,"R",192,"R",0,"R",192,"R",122,"R",64,"R",161,"R",0,"R",161,"R",111,"R",69,"R",21
239248,"R",1292,"R",3616,"R",36,"R",1150,"Z",0,"R",1150,"R",591,"R",51,"R",881,"Z",0,"R",881,"R",465,"R",53,"R",17
239309,"R",177,"R",225,"R",79,"R",175,"R",0,"R",175,"R",121,"R",69,"R",2,"R",0,"R",2,"R",0,"R",0,"R",15
239318,"R",526,"R",680,"R",77,"R",625,"R",0,"R",625,"R",468,"R",75,"R",19,"R",0,"R",19,"R",3,"R",16,"R",14
239372,"R",291,"R",2806,"R",10,"R",124,"R",0,"R",124,"R",88,"R",71,"R",205,"R",0,"R",205,"R",129,"R",63,"R",16
