UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT
141565,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,0,0,1,1,0,2,1,2,1,1,2,3,1,1,3,1,"R",806,"R",1217,"R",433,"R",703,"R",212,"R",323,"R",6,"R",11,1,"R",500,"R",90,"R",111,"R",20,"R",410,"R",520,"R",420,"R",540,"R",400,"R",510,"R",17,"R",24,"R",13,"R",20,"R",16,"R",21,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,156,1,156,1,156,-2,1,"R",50,"R",50,1,1,1,1,1,1,1,1,"R",620,2,"A",.,"R",2776,"R",3770,"A",.,2,"R",218,"R",334,"R",552,"R",2023,"R",1136,"R",535,"R",17,1,0,0,1,0,1,"A",.
141574,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,0,0,1,1,0,2,1,2,1,1,3,3,1,1,3,1,"R",3223,"R",3806,"R",2041,"R",2647,"R",787,"R",1025,"R",29,"R",25,1,"R",1623,"R",87,"R",487,"R",26,"R",480,"R",570,"R",500,"R",610,"R",470,"R",560,"R",21,"R",23,"R",20,"R",22,"R",21,"R",26,"B",.,"B",.,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,-2,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,137,1,137,1,137,1,137,-2,1,"R",50,"R",60,1,1,1,1,1,1,1,1,"R",3367,2,"A",.,"R",4444,"R",3874,"A",.,2,"R",816,"R",1050,"R",1866,"R",7029,"R",4688,"R",1812,"R",54,1,0,0,1,0,1,"A",.
141608,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",25,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
141644,1,1,1,1,0,0,3,-2,-2,-2,1,0,1,0,1,1,1,1,0,0,0,0,2,1,2,1,1,2,3,1,2,3,1,"R",990,"R",1881,"R",790,"R",1560,"R",207,"R",390,"R",9,"R",10,1,"R",508,"R",73,"R",192,"R",28,"R",430,"R",550,"R",420,"R",530,"R",420,"R",540,"R",18,"R",23,"R",17,"R",24,"R",17,"R",22,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,141,1,141,1,141,-2,1,"R",50,"R",50,1,1,1,1,1,1,2,1,"R",211,1,"R",14,"A",.,"A",.,"R",11094,2,"R",216,"R",400,"R",616,"R",2871,"R",2350,"R",597,"R",19,1,0,0,1,0,1,"A",.
141680,1,1,-2,1,1,0,1,2,0,-2,0,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",4
141796,1,1,-2,1,1,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
141802,1,1,-2,1,1,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
141811,1,1,-2,1,1,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
141839,1,1,0,1,1,0,1,2,0,-2,0,1,1,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",4
141848,1,1,-2,0,0,0,2,-2,-2,-2,1,0,0,0,-2,-2,-2,-2,0,-2,-2,-2,2,3,3,3,3,3,3,3,3,1,2,"R",0,"R",92,"R",0,"R",57,"R",0,"R",57,"B",.,"Z",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",15,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",0,"R",57,"R",57,"R",92,"R",57,"R",57,"Z",0,1,0,0,1,0,1,"A",.
141936,1,1,0,0,0,0,4,-2,-2,99,0,0,0,0,0,0,1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"A",.,"R",50,2,2,1,2,2,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,-2,"A",.
141945,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,0,1,0,1,"A",.
141963,1,1,1,1,1,0,1,2,0,-2,0,1,1,1,1,1,1,0,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,"A",.
141981,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,1,2,2,3,2,1,3,1,"R",80,"R",159,"R",58,"R",134,"R",8,"R",17,"R",9,"R",40,1,"R",58,"R",77,"R",16,"R",21,"R",380,"R",490,"R",400,"R",490,"R",380,"R",470,"R",15,"R",18,"R",13,"R",17,"R",15,"R",17,"B",.,"B",.,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",50,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",17,"R",57,"R",74,"R",239,"R",192,"R",25,"R",49,1,0,0,1,0,1,"A",.
141990,1,1,-2,1,1,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",7
142054,1,1,-2,0,0,0,2,-2,-2,-2,0,1,1,0,0,0,0,0,0,0,0,0,2,3,3,1,3,3,3,3,3,3,1,"R",120,"R",625,"R",116,"R",609,"R",116,"R",609,"R",0,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,7,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",116,"R",609,"R",725,"R",745,"R",725,"R",725,"R",0,2,0,0,0,0,1,"A",.
142090,0,1,0,0,0,0,4,-2,-2,88,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,1,2,1,3,1,1,3,2,"R",39,"R",38,"R",39,"R",38,"R",29,"R",23,"R",1,"R",0,2,"R",27,"R",51,"R",14,"R",26,"R",470,"R",580,"R",440,"R",560,"R",390,"R",540,"R",17,"R",22,"R",14,"R",25,"R",15,"R",20,"B",.,"B",.,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,2,1,"R",92,1,"R",16,"A",.,"A",.,"R",5400,2,"R",30,"R",23,"R",53,"R",77,"R",77,"R",52,"R",1,1,0,0,1,0,1,"A",.
142115,0,1,0,0,0,0,1,2,0,-2,0,0,1,0,1,1,1,0,0,1,0,0,2,1,2,1,2,3,3,1,1,4,2,"R",2053,"R",2074,"R",1740,"R",1866,"R",892,"R",1118,"R",99,"R",85,2,"R",853,"R",39,"R",1482,"R",69,"R",460,"R",570,"R",470,"R",590,"R",440,"R",560,"R",19,"R",25,"R",18,"R",24,"R",18,"R",25,"R",6,"R",8,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,137,1,137,2,-2,1,137,-2,1,"R",40,"R",40,1,1,1,1,1,1,1,1,"R",1820,1,"R",19,"R",2514,"R",2756,"A",.,2,"R",991,"R",1203,"R",2194,"R",4127,"R",3606,"R",2010,"R",184,2,0,0,0,0,1,"A",.
142179,1,0,-2,1,1,0,1,2,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",10,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,2,"R",4
142276,1,1,1,0,1,0,1,2,0,-2,1,1,1,1,1,1,1,1,0,1,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,105,1,105,2,-2,1,105,-2,1,"R",40,"R",55,1,1,1,1,1,1,1,1,"R",1279,2,"A",.,"R",2350,"R",2700,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0,2,"R",4
142285,0,1,1,1,0,0,1,2,0,-2,1,0,0,0,1,0,1,1,0,1,1,0,2,1,3,1,3,3,3,1,1,3,1,"R",2580,"R",2355,"R",1991,"R",1853,"R",888,"R",778,"R",29,"R",14,1,"R",975,"R",57,"R",1130,"R",66,"R",480,"R",600,"R",490,"R",610,"R",460,"R",570,"R",20,"R",26,"R",19,"R",26,"R",19,"R",26,"B",.,"B",.,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,137,1,137,2,-2,1,137,-2,1,"R",40,"R",55,1,1,1,1,1,1,1,1,"R",1991,2,"A",.,"A",.,"A",.,"R",7242,2,"R",917,"R",792,"R",1709,"R",4935,"R",3844,"R",1666,"R",43,2,0,0,0,0,1,"A",.
142294,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,1,2,1,3,1,1,3,2,"R",580,"R",811,"R",348,"R",495,"R",117,"R",170,"R",7,"R",12,2,"R",91,"R",33,"R",188,"R",67,"R",440,"R",575,"R",460,"R",595,"R",430,"R",560,"R",22,"R",27,"R",21,"R",28,"R",21,"R",27,"B",.,"B",.,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,328,1,328,1,328,-2,4,"B",.,"R",0,1,1,1,1,1,1,2,1,"R",577,1,"R",14,"R",3450,"R",4028,"A",.,1,"R",124,"R",182,"R",306,"R",1391,"R",843,"R",287,"R",19,1,0,0,1,0,1,"A",.
142328,1,1,0,1,1,0,1,2,0,-2,0,1,1,1,1,0,0,0,0,0,0,0,2,1,3,1,1,3,3,1,1,4,2,"R",596,"R",677,"R",585,"R",667,"R",272,"R",327,"R",15,"R",21,2,"R",106,"R",17,"R",401,"R",63,"R",450,"R",540,"R",438,"R",540,"B",.,"B",.,"R",17,"R",22,"R",15,"R",21,"R",17,"R",22,"B",.,"B",.,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,2,-2,1,352,1,342,1,352,-2,1,"R",35,"A",.,1,1,2,1,1,2,1,1,"R",373,2,"A",.,"R",3200,"R",2900,"A",.,2,"R",287,"R",348,"R",635,"R",1273,"R",1252,"R",599,"R",36,1,0,0,1,0,1,"A",.
142337,0,1,0,0,0,0,2,-2,-2,-2,0,0,1,0,1,0,0,0,0,0,0,0,2,3,3,1,3,3,3,3,1,3,2,"R",228,"R",74,"R",121,"R",34,"R",108,"R",28,"R",13,"R",6,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,2,"B",.,"A",.,1,1,2,1,1,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",121,"R",34,"R",155,"R",302,"R",155,"R",136,"R",19,2,0,0,0,0,1,"A",.
142407,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,-2,6,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
142416,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,-2,6,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
142443,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,1,1,2,1,1,2,1,1,"R",202,2,"A",.,"R",3550,"R",3000,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
142461,0,1,0,0,0,0,4,-2,-2,59,0,0,0,0,1,0,1,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,213,1,213,1,213,-2,1,"R",25,"R",40,1,1,1,1,1,1,2,1,"R",864,1,"R",21,"A",.,"A",.,"R",5830,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,1,0,1,"A",.
142489,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,-2,7,"R",100,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
142522,1,1,0,0,0,0,4,-2,-2,94,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,2,2,1,3,1,1,3,2,"R",3239,"R",3648,"R",3153,"R",3531,"R",1902,"R",1994,"R",13,"R",42,2,"R",684,"R",18,"R",3406,"R",87,"R",470,"R",570,"R",480,"R",580,"B",.,"B",.,"R",20,"R",25,"R",19,"R",25,"R",19,"R",25,"B",.,"B",.,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",30,"A",.,1,1,2,1,1,2,2,1,"R",1041,3,"A",.,"R",1800,"A",.,"A",.,2,"R",1915,"R",2036,"R",3951,"R",6887,"R",6684,"R",3896,"R",55,2,0,0,0,0,1,"A",.
142559,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,1,"R",246,2,"A",.,"R",2350,"R",2430,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.
